district,name,address,website,contact,district_roman,type
District 11,Bánki Donát Közlekedésgépészeti Szakgimnázium,"Budapest, Váci út 179-183, 1138",http://bankidonat.net/,,XI,szakgimnázium
District 11,"BMSZC Petrik Lajos Két Tanítási Nyelvű Vegyipari, Környezetvédelmi és Informatikai Szakgimnáziuma","Budapest, Thököly út 48-54, 1146",http://petrik.hu,,XI,szakgimnázium
District 11,"Csanádi Árpád Sportiskola, Általános Iskola és Gimnázium","Budapest, Őrnagy u. 5, 1143",http://www.csanadiiskola.hu/,,XI,gimnázium
District 11,ELTE Radnóti Miklós Gyakorlóiskola,"Budapest, Cházár András u. 10, 1146",http://radnoti.hu,,XI,
District 11,Budapesti Komplex Szakképzési Centrum Kaesz Gyula Faipari Technikum és Szakképző Iskola,"Budapest, Egressy út 36, 1149",http://kaesz.hu,,XI,technikum
District 11,Szent István Gimnázium,"Budapest, Ajtósi Dürer sor 15, 1146",http://szigbp.hu,,XI,gimnázium
District 11,Budapest Táncművészeti Stúdió Szakgimnázium,"Budapest, Miskolci u. 141, 1147",http://www.tanciskola.eu,,XI,szakgimnázium
District 11,Egressy Gábor Szakgimnázium,"Budapest, Egressy út 71, 1149",http://www.egressy.info,,XI,szakgimnázium
District 11,Európa 2000 Gimnázium,"Budapest, Gizella út 42-44, 1143",http://europa2000.hu,,XI,gimnázium
District 11,"Mozgásjavító Általános Iskola, Szakközépiskola, Egységes Gyógypedagógiai Módszertani Intézmény és Diákotthon","Budapest, Mexikói út 60, 1145",http://www.mozgasjavito.hu,,XI,szakközépiskola
District 11,Neumann János Számítástechnikai Szakgimnázium,"Budapest, Kerepesi út 124, 1144",http://www.njszki.hu,,XI,szakgimnázium
District 11,Wesselényi Miklós Műszaki Szakgimnázium,"Budapest, Várna u. 23, 1149",http://www.wmszki.hu,,XI,szakgimnázium
District 11,Ybl Miklós Építőipari Szakképző Iskola,"Budapest, Várna u. 21/b, 1149",http://www.yblszakkepzo.hu,,XI,
District 11,Teleki Blanka Gimnázium,"Budapest, Ajtósi Dürer sor 37, 1146",http://www.tbg.hu,,XI,gimnázium
District 11,Álmos Vezér Gimnázium és Általános Iskola,"Budapest, Álmos vezér tere 9, 1144",http://www.almosvezer.hu,,XI,gimnázium
District 11,"Horvát Óvoda, Általános Iskola, Gimnázium és Kollégium","Budapest, Kántorné stny. 1, 1144",http://www.hosig.hu,,XI,gimnázium
District 11,Sylvester János Református Gimnázium,"Budapest, Pillangó park 3, 1149",http://sylvester.hu,,XI,gimnázium
District 11,Bethlen Gábor Technikum,"Budapest, Árendás köz 8, 1157",http://bethlenszki.hu/,,XI,technikum
District 11,Kontyfa Általános Iskola és Gimnázium,"Budapest, Kontyfa u. 5, 1156",http://kontyfa.hu/,,XI,gimnázium
District 11,"Innovációs Szakképző, Továbbképző Középiskola","Budapest, Bocskai u. 70, 1153",http://iszti.hu/,,XI,
District 11,Szépmíves Szakgimnázium,"Budapest, Bocskai utca 70-72. 1153",http://kozmetikusoktatas.hu,,XI,szakgimnázium
District 11,László Gyula Gimnázium és Általános Iskola,"Budapest, Kavicsos köz 4, 1157",http://www.laszlogyulagimnazium.hu/,,XI,gimnázium
District 11,Dózsa György Gimnázium és Táncművészeti Szakközépiskola,"Budapest, Fő út 70, 1151",http://dgyg.hu/uj/,,XI,szakközépiskola
District 11,Csonka János Műszaki Szakgimnázium,"Budapest Arany János u. 55., 1165",http://csonkabp.sulinet.hu/,,XI,szakgimnázium
District 11,Bornemisza Péter Gimnázium,"Budapest, Száva u. 1, 1107",http://www.bpg.hu/,,XI,gimnázium
District 11,Szerb Antal Gimnázium,"Budapest, Batthyány Ilona u. 12, 1164",http://www.szag.hu/weboldal/,,XI,gimnázium
